2026-05-23 11:22:10 | auth.password_utils | DEBUG | Using bcrypt for password hashing.
2026-05-23 11:22:10 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:22:11 | database.seed | INFO | Seeded user: admin (admin)
2026-05-23 11:22:11 | database.seed | INFO | Seeded user: dr_smith (doctor)
2026-05-23 11:22:11 | database.seed | INFO | Seeded user: dr_patel (doctor)
2026-05-23 11:22:11 | database.seed | INFO | Seeded user: patient_john (patient)
2026-05-23 11:22:12 | database.seed | INFO | Seeded user: patient_sara (patient)
2026-05-23 11:22:12 | database.seed | INFO | Seeded patient profile for: patient_john
2026-05-23 11:22:12 | database.seed | INFO | Seeded patient profile for: patient_sara
2026-05-23 11:22:12 | database.seed | INFO | Database seeded with 5 new users.
2026-05-23 11:22:48 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:22:48 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:22:48 | auth.jwt_handler | DEBUG | JWT created for user: patient_john
2026-05-23 11:22:48 | auth.auth | INFO | User 'patient_john' logged in successfully.
2026-05-23 11:22:48 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:22:48 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:22:48 | blockchain.blockchain | INFO | Loaded blockchain: 1 blocks.
2026-05-23 11:22:48 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:22:48 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:25:42 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:25:42 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:25:42 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:25:42 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:25:42 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:25:57 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:25:57 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:25:57 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:25:57 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:25:57 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:25:57 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:25:59 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:25:59 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:25:59 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:25:59 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:25:59 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:26:03 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:26:03 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:26:03 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-23 11:26:03 | auth.auth | INFO | User 'patient_john' logged out.
2026-05-23 11:26:03 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:26:03 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:37:11 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:37:11 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:47:21 | database.migrations | INFO | Database migrations applied successfully.
2026-05-23 11:47:21 | database.seed | INFO | Database already seeded. Skipping.
2026-05-23 11:48:59 | database.migrations | INFO | Database migrations applied successfully.
