2026-05-26 09:51:35 | auth.password_utils | DEBUG | Using bcrypt for password hashing.
2026-05-26 09:51:35 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:51:35 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:51:47 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:51:47 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:07 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:53:07 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:07 | auth.jwt_handler | DEBUG | JWT created for user: abid
2026-05-26 09:53:07 | auth.auth | INFO | User 'abid' logged in successfully.
2026-05-26 09:53:07 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:53:07 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:07 | blockchain.blockchain | INFO | Loaded blockchain: 2 blocks.
2026-05-26 09:53:07 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-26 09:53:07 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-26 09:53:46 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:53:46 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:46 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:53:46 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:46 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-26 09:53:51 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:53:51 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:51 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-26 09:53:51 | crypto.decrypt | DEBUG | Data decrypted successfully.
2026-05-26 09:53:58 | database.migrations | INFO | Database migrations applied successfully.
2026-05-26 09:53:58 | database.seed | INFO | Database already seeded. Skipping.
2026-05-26 09:53:58 | blockchain.validator | WARNING | Blockchain validation FAILED. 1 issue(s) found.
2026-05-26 09:54:01 | database.migrations | INFO | Database migrations applied successfully.
